title;desc;long_desc;start_date;end_date;location_uid;link;img;keyword;location_name;book_link
Un apprentissage;Cie Le Temps Qu'il Faut | Pierre-Yves Chapalain;;2024-12-11T20:00:00+0200;2024-12-11T22:00:00+0200;16584185;https://archipel.ville-fouesnant.fr/agenda/un-apprentissage/;;Théâtre;;https://archipel-ville-fouesnant.notre-billetterie.fr/billets?spec=826
Quatuor Ardeo;Variations Goldberg de Bach/Meïmoun;;2024-12-12T20:00:00+0200;2024-12-12T22:00:00+0200;16584185;https://archipel.ville-fouesnant.fr/agenda/quatuor-ardeo/;;Musique;;https://archipel-ville-fouesnant.notre-billetterie.fr/billets?spec=827
Club ciné #2;en lien avec Jean-Clone;;2024-12-13T20:00:00+0200;2024-12-13T22:00:00+0200;16584185;https://archipel.ville-fouesnant.fr/agenda/club-cine-2/;;Projection;;
Johanna Baget;En showcase;;2024-12-14T20:00:00+0200;2024-12-14T22:00:00+0200;16584185;https://archipel.ville-fouesnant.fr/agenda/johanna-baget/;;Showcase;;
18’34’’;Cie Arcosm | Thomas Guerry;;2024-12-17T20:00:00+0200;2024-12-17T22:00:00+0200;16584185;https://archipel.ville-fouesnant.fr/agenda/1834/;;Danse;;https://archipel-ville-fouesnant.notre-billetterie.fr/billets?spec=828
18’34’’;Cie Arcosm | Thomas Guerry;;2024-12-17T20:00:00+0200;2024-12-17T22:00:00+0200;16584185;https://archipel.ville-fouesnant.fr/agenda/1834-2/;;Danse;;https://archipel-ville-fouesnant.notre-billetterie.fr/billets?spec=828
À voix haute #2;FORT;;2025-01-08T20:00:00+0200;2025-01-08T22:00:00+0200;16584185;https://archipel.ville-fouesnant.fr/agenda/a-voix-haute-2/;;Lecture;;
Ensachage de graines;Vie de la Grainothèque;;2025-01-10T20:00:00+0200;2025-01-10T22:00:00+0200;16584185;https://archipel.ville-fouesnant.fr/agenda/ensachage-de-graines-4/;;Participation;;
Irish Time;En showcase;;2025-01-11T20:00:00+0200;2025-01-11T22:00:00+0200;16584185;https://archipel.ville-fouesnant.fr/agenda/irish-time/;;Showcase;;
Tanguy de Williencourt;Beethoven et Liszt;;2025-01-12T20:00:00+0200;2025-01-12T22:00:00+0200;16584185;https://archipel.ville-fouesnant.fr/agenda/tanguy-de-williencourt/;;Musique;;https://archipel-ville-fouesnant.notre-billetterie.fr/billets?spec=829
FORT;Cie À brûle-pourpoint | Catherine Anne et Benoît Menut;;2025-01-16T20:00:00+0200;2025-01-16T22:00:00+0200;16584185;https://archipel.ville-fouesnant.fr/agenda/fort/;;Musique;;https://archipel-ville-fouesnant.notre-billetterie.fr/billets?spec=830
Un petit déjeuner avec Catherine Anne;autour du spectacle FORT;;2025-01-17T20:00:00+0200;2025-01-17T22:00:00+0200;16584185;https://archipel.ville-fouesnant.fr/agenda/un-petit-dejeuner-avec-catherine-anne/;;Échange;;
Club ciné #3;;;2025-01-17T20:00:00+0200;2025-01-17T22:00:00+0200;16584185;https://archipel.ville-fouesnant.fr/agenda/club-cine-3/;;Projection;;
Cérémonial Pollen;La Soustraction des fleurs;;2025-01-21T20:00:00+0200;2025-01-21T22:00:00+0200;16584185;https://archipel.ville-fouesnant.fr/agenda/ceremonial-pollen/;;Musique;;https://archipel-ville-fouesnant.notre-billetterie.fr/billets?spec=832
Dans la peau d’un magicien #1;Cie Le Phalène | Thierry Collet | Éric Didry;;2025-01-25T20:00:00+0200;2025-01-25T22:00:00+0200;16584185;https://archipel.ville-fouesnant.fr/agenda/dans-la-peau-dun-magicien-1/;;Magie;;https://archipel-ville-fouesnant.notre-billetterie.fr/billets?spec=833
Dans la peau d’un magicien #2;Cie Le Phalène | Thierry Collet | Éric Didry;;2025-01-26T20:00:00+0200;2025-01-26T22:00:00+0200;16584185;https://archipel.ville-fouesnant.fr/agenda/dans-la-peau-dun-magicien-2/;;Magie;;https://archipel-ville-fouesnant.notre-billetterie.fr/billets?spec=833
Café Astro #2;La face cachée des relations Terre-Lune;;2025-01-28T20:00:00+0200;2025-01-28T22:00:00+0200;16584185;https://archipel.ville-fouesnant.fr/agenda/cafe-astro-2/;;Conférence;;
Fantômes;Jî Drû;;2025-01-30T20:00:00+0200;2025-01-30T22:00:00+0200;16584185;https://archipel.ville-fouesnant.fr/agenda/fantomes/;;Musique;;https://archipel-ville-fouesnant.notre-billetterie.fr/billets?spec=834
Qu’est-ce que du beau travail ?;Café-philo avec Yan Marchand;;2025-02-04T20:00:00+0200;2025-02-04T22:00:00+0200;16584185;https://archipel.ville-fouesnant.fr/agenda/quest-ce-que-du-beau-travail/;;Café-philo;;
